Date,AAPL
"Apr 30, 2018",41.32
"May 1, 2018",42.28
"May 2, 2018",44.14
"May 3, 2018",44.22
"May 4, 2018",45.96
"May 7, 2018",46.29
"May 8, 2018",46.51
"May 9, 2018",46.84
"May 10, 2018",47.51
"May 11, 2018",47.15
"May 14, 2018",47.04
"May 15, 2018",46.61
"May 16, 2018",47.05
"May 17, 2018",46.75
"May 18, 2018",46.58
"May 21, 2018",46.91
"May 22, 2018",46.79
"May 23, 2018",47.09
"May 24, 2018",47.04
"May 25, 2018",47.15
"May 29, 2018",46.98
"May 30, 2018",46.88
"May 31, 2018",46.72
"Jun 1, 2018",47.56
"Jun 4, 2018",47.96
"Jun 5, 2018",48.33
"Jun 6, 2018",48.50
"Jun 7, 2018",48.37
"Jun 8, 2018",47.93
"Jun 11, 2018",47.81
"Jun 12, 2018",48.07
"Jun 13, 2018",47.68
"Jun 14, 2018",47.70
"Jun 15, 2018",47.21
"Jun 18, 2018",47.19
"Jun 19, 2018",46.42
"Jun 20, 2018",46.63
"Jun 21, 2018",46.37
"Jun 22, 2018",46.23
"Jun 25, 2018",45.54
"Jun 26, 2018",46.11
"Jun 27, 2018",46.04
"Jun 28, 2018",46.38
"Jun 29, 2018",46.28
"Jul 2, 2018",46.80
"Jul 3, 2018",45.98
"Jul 5, 2018",46.35
"Jul 6, 2018",46.99
"Jul 9, 2018",47.65
"Jul 10, 2018",47.59
"Jul 11, 2018",46.97
"Jul 12, 2018",47.76
"Jul 13, 2018",47.83
"Jul 16, 2018",47.73
"Jul 17, 2018",47.86
"Jul 18, 2018",47.60
"Jul 19, 2018",47.97
"Jul 20, 2018",47.86
"Jul 23, 2018",47.86
"Jul 24, 2018",48.25
"Jul 25, 2018",48.71
"Jul 26, 2018",48.55
"Jul 27, 2018",47.75
"Jul 30, 2018",47.48
"Jul 31, 2018",47.57
"Aug 1, 2018",50.38
"Aug 2, 2018",51.85
"Aug 3, 2018",52.00
"Aug 6, 2018",52.27
"Aug 7, 2018",51.78
"Aug 8, 2018",51.81
"Aug 9, 2018",52.22
"Aug 10, 2018",51.88
"Aug 13, 2018",52.22
"Aug 14, 2018",52.44
"Aug 15, 2018",52.56
"Aug 16, 2018",53.33
"Aug 17, 2018",54.40
"Aug 20, 2018",53.87
"Aug 21, 2018",53.76
"Aug 22, 2018",53.76
"Aug 23, 2018",53.87
"Aug 24, 2018",54.04
"Aug 27, 2018",54.49
"Aug 28, 2018",54.93
"Aug 29, 2018",55.75
"Aug 30, 2018",56.26
"Aug 31, 2018",56.91
"Sep 4, 2018",57.09
"Sep 5, 2018",56.72
"Sep 6, 2018",55.78
"Sep 7, 2018",55.33
"Sep 10, 2018",54.58
"Sep 11, 2018",55.96
"Sep 12, 2018",55.27
"Sep 13, 2018",56.60
"Sep 14, 2018",55.96
"Sep 17, 2018",54.47
"Sep 18, 2018",54.56
"Sep 19, 2018",54.59
"Sep 20, 2018",55.01
"Sep 21, 2018",54.42
"Sep 24, 2018",55.20
"Sep 25, 2018",55.55
"Sep 26, 2018",55.11
"Sep 27, 2018",56.24
"Sep 28, 2018",56.44
"Oct 1, 2018",56.82
"Oct 2, 2018",57.32
"Oct 3, 2018",58.02
"Oct 4, 2018",57.00
"Oct 5, 2018",56.07
"Oct 8, 2018",55.94
"Oct 9, 2018",56.72
"Oct 10, 2018",54.09
"Oct 11, 2018",53.61
"Oct 12, 2018",55.53
"Oct 15, 2018",54.34
"Oct 16, 2018",55.54
"Oct 17, 2018",55.30
